DATAFLOW,LAST UPDATE,freq,unit,sex,age,isced11,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,AT,2019,40.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,BE,2019,29.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,BG,2019,32.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,CH,2019,54.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,CY,2019,37.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,CZ,2019,23.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,DE,2019,44.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,DK,2019,46.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,EE,2019,37.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,EL,2019,29.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,ES,2019,41.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,FI,2019,30.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,FR,2019,30.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,HR,2019,20.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,HU,2019,32.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,IE,2019,32.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,IS,2019,64.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,IT,2019,35.7,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,LT,2019,21.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,LU,2019,38.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,LV,2019,32.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,ME,2019,21.2,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,MK,2019,26.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,MT,2019,48.2,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,NL,2019,49.5,b
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,NO,2019,46.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,PL,2019,20.1,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,PT,2019,50.5,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,RO,2019,38.0,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,RS,2019,34.8,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,SE,2019,39.6,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,SI,2019,27.9,
ESTAT:LFSA_ERGAED(1.0),27/09/22 23:00:00,A,PC,T,Y15-74,ED0-2,SK,2019,18.0,
